x,y
141.48,23.8275
14.4988,209.017
30.3741,398.303
30.3703,398.288
30.2805,398.259
56.3199,139.574
36.8264,48.3336
58.9536,249.054
58.9353,180.023
188.345,283.478
54.0255,283.1
147.99,67.0968
313.1,212.33
165.528,181.98
333.736,59.9788
218.411,66.7006
444.331,229.308
447.807,65.8332
