x,y
18.0978,31.0552
14.232,197.901
5.05921,219.694
51.3202,278.189
28.897,87.8769
61.9837,33.1761
60.4709,134.715
14.3179,210.09
56.345,174.125
187.95,282.27
60.7253,246.184
140.014,36.9888
299.951,202.751
163.978,181.269
337.246,59.3089
215.661,68.0138
431.394,242.403
451.862,73.7215
